Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,198.728543552291,219.141352785465,250.29412990949,272.563077018147,369.835795969823,373.361116300036,445.893297923744,553.300289383064,603.53702306241
Albania,ALB,"Population, total",SP.POP.TOTL,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1890.68155733514,2416.58823505194,2709.14293061386,3005.01290331851,3603.01368536638,4370.53964653148,4114.13654490945,4094.35883191918,4437.17806843608
Algeria,DZA,"Population, total",SP.POP.TOTL,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,67863829880.4832,85324998813.604,103198228458.588,117027304746.54,134977087734.008,171000691877.714,137211039898.193,161207268655.392,200013051408.116
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2094.33550572581,2598.90802346666,3100.12237758677,3464.61007870202,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.25020268075
American Samoa,ASM,"Population, total",SP.POP.TOTL,59117,59264,59118,58650,57903,57030,56227,55637,55320
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,8914.52543261668,8639.30885529158,8508.40691498359,8456.94799658994,8980.53641434813,9871.99719445906,12058.26382343,10352.8227618312,10375.9942154736
Andorra,AND,"Population, total",SP.POP.TOTL,73182,76244,78867,80991,82683,83861,84462,84449,83751
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2373927765.23702,2916786689.84356,3248215396.09501,3536632793.87781,4010990966.32904,4001201113.22689,3650083356.48791,3346516556.29139,3427022518.76564
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,32438.6839009185,38255.9504989711,41185.9890206932,43666.985144989,48510.4672826221,47712.2990809422,43215.6870129515,39627.6635163399,40919.1832785953
Angola,AGO,"Population, total",SP.POP.TOTL,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,779.468305598703,1041.08684392862,1443.99192856374,2062.41514942577,2878.83714393079,3868.57888289748,3347.84485033644,3529.05348173757,4299.01288877922
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,87293,88257,89253,90301,91381,92478,93581,94661,95719
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,850218592.592592,913710370.37037,1014979666.66667,1149025481.48148,1302388925.92593,1359733555.55556,1217719666.66667,1147942222.22222,1141865444.44444
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,9739.82555981112,10352.8373995306,11371.9389450962,12724.3937661984,14252.2945243095,14703.3192278764,13012.4669181422,12126.8761392994,11929.3499142745
Arab World,ARB,"Population, total",SP.POP.TOTL,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878
