Country Name,Country Code,Series Name,Series Code,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011
Afghanistan,AFG,"Population, total",SP.POP.TOTL,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599
Albania,ALB,"Population, total",SP.POP.TOTL,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195
Algeria,DZA,"Population, total",SP.POP.TOTL,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558
American Samoa,ASM,"Population, total",SP.POP.TOTL,59117,59264,59118,58650,57903,57030,56227,55637,55320
Andorra,AND,"Population, total",SP.POP.TOTL,73182,76244,78867,80991,82683,83861,84462,84449,83751
Angola,AGO,"Population, total",SP.POP.TOTL,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,87293,88257,89253,90301,91381,92478,93581,94661,95719
Arab World,ARB,"Population, total",SP.POP.TOTL,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878
Argentina,ARG,"Population, total",SP.POP.TOTL,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879
Armenia,ARM,"Population, total",SP.POP.TOTL,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581
Aruba,ABW,"Population, total",SP.POP.TOTL,97017,98737,100031,100832,101220,101353,101453,101669,102053
Australia,AUS,"Population, total",SP.POP.TOTL,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024
Austria,AUT,"Population, total",SP.POP.TOTL,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,315746,322526,329249,335830,342328,348676,354856,360832,366568
Bahrain,BHR,"Population, total",SP.POP.TOTL,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269
Bangladesh,BGD,"Population, total",SP.POP.TOTL,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916
Barbados,BRB,"Population, total",SP.POP.TOTL,272258,273091,274009,275039,276150,277319,278470,279569,280601
Belarus,BLR,"Population, total",SP.POP.TOTL,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172
Belgium,BEL,"Population, total",SP.POP.TOTL,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11047744
Belize,BLZ,"Population, total",SP.POP.TOTL,269130,276089,283277,290747,298407,306165,313929,321608,329192
Benin,BEN,"Population, total",SP.POP.TOTL,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802
Bermuda,BMU,"Population, total",SP.POP.TOTL,63325,63740,64154,64523,64888,65273,65636,65124,64564
Bhutan,BTN,"Population, total",SP.POP.TOTL,623434,640282,656639,672228,686958,700950,714458,727641,740510
Bolivia,BOL,"Population, total",SP.POP.TOTL,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3779247,3781287,3781530,3779468,3774000,3763599,3746561,3722084,3688865
Botswana,BWA,"Population, total",SP.POP.TOTL,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339
Brazil,BRA,"Population, total",SP.POP.TOTL,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,22000,22541,23168,23905,24731,25604,26447,27224,27901
