:START_ID(Executive),jobs,:END_ID(Stock),:TYPE
dddbd3ad0f2e3fca80da88296298bb51,董事长/董事,601058,employ_of
2f867939e123f10437a15a127799248e,副董事长/董事,601058,employ_of
e68b3ae7a003c60cd9d50e371cdb3529,董事,601058,employ_of
b8b7f9a79ba362a435cbabc863fe7309,董事,601058,employ_of
87deaf5073b7c1ac2f679334efb54d5d,董事,601058,employ_of
7415cf6aec1074660e15c0efd5b1ea60,董事,601058,employ_of
dc92998750539efe0723541aebe95259,独立董事,601058,employ_of
228bd4a6ec3cf830377580521d7e7250,独立董事,601058,employ_of
8fcd95ef3ae8781a76ee9aa53da5215f,独立董事,601058,employ_of
51aab6e9a1fa0bd8db88110809b86ee0,董事长/董事,600219,employ_of
c620b8883c1ca8d3cc1b91aa28076e02,董事,600219,employ_of
56a4441577ade9a3827ad3d9a0c03f6e,董事,600219,employ_of
08b09ec4a98e19d171fc8796e1c8b348,董事,600219,employ_of
be581fbe6a4590e0d96e583dc613dce2,董事,600219,employ_of
d8de7b6e4658e3d218c5dab13d3046ee,董事,600219,employ_of
dd7a662975119e8a08658cbf62aaf643,独立董事,600219,employ_of
1f9a54c2b9c47c88a98e9bf11f02b986,独立董事,600219,employ_of
a2d3ea0347aae86f0620e37e99447d50,独立董事,600219,employ_of
e9f9dc20a35f509c9136be0f7ec49e3f,董事长/董事,300345,employ_of
febe8ecdafbf491a798728e12e6d3045,董事,300345,employ_of
f851b600d45caed94006ae643268d6b2,董事,300345,employ_of
815faff0e1c335660672412ec4591012,独立董事,300345,employ_of
2e80e3892091572f856a55799ccd9c50,独立董事,300345,employ_of
a8f36a11493496fcb806e6e78eb486e9,独立董事,300345,employ_of
689c2de5423a0092ea4f4d7b7362082c,董事长/董事,600649,employ_of
94f6118ba76614d304b0aa0ce292a087,副董事长/董事,600649,employ_of
570e0ef507c8986f63bcb4289f1a9e2b,董事,600649,employ_of
d4feda624901f5139510ab1f55016296,董事,600649,employ_of
c3d9201366adc8af91cf7867eb167cb9,董事,600649,employ_of
bef8f0dfcd7c22171e5505be24cc4c3c,董事,600649,employ_of
7a66096e476a0d8d178425e2d465a03f,独立董事,600649,employ_of
c883c94c6ed7f7ffbbdb72698e7cd10c,独立董事,600649,employ_of
