:START_ID(Stock),:END_ID(Concept),:TYPE
600007,5002146d64e919ca0d3af525a8b4083e,concept_of
600114,5002146d64e919ca0d3af525a8b4083e,concept_of
600132,5002146d64e919ca0d3af525a8b4083e,concept_of
600182,5002146d64e919ca0d3af525a8b4083e,concept_of
600595,5002146d64e919ca0d3af525a8b4083e,concept_of
600641,5002146d64e919ca0d3af525a8b4083e,concept_of
600779,5002146d64e919ca0d3af525a8b4083e,concept_of
600801,5002146d64e919ca0d3af525a8b4083e,concept_of
600819,5002146d64e919ca0d3af525a8b4083e,concept_of
1,5002146d64e919ca0d3af525a8b4083e,concept_of
5,5002146d64e919ca0d3af525a8b4083e,concept_of
541,5002146d64e919ca0d3af525a8b4083e,concept_of
608,5002146d64e919ca0d3af525a8b4083e,concept_of
659,5002146d64e919ca0d3af525a8b4083e,concept_of
869,5002146d64e919ca0d3af525a8b4083e,concept_of
895,5002146d64e919ca0d3af525a8b4083e,concept_of
932,5002146d64e919ca0d3af525a8b4083e,concept_of
935,5002146d64e919ca0d3af525a8b4083e,concept_of
2032,5002146d64e919ca0d3af525a8b4083e,concept_of
2047,5002146d64e919ca0d3af525a8b4083e,concept_of
600023,cc1340316e41046e7ff2f54c33418694,concept_of
600089,cc1340316e41046e7ff2f54c33418694,concept_of
600202,cc1340316e41046e7ff2f54c33418694,concept_of
600226,cc1340316e41046e7ff2f54c33418694,concept_of
600269,cc1340316e41046e7ff2f54c33418694,concept_of
600292,cc1340316e41046e7ff2f54c33418694,concept_of
600307,cc1340316e41046e7ff2f54c33418694,concept_of
600328,cc1340316e41046e7ff2f54c33418694,concept_of
600416,cc1340316e41046e7ff2f54c33418694,concept_of
600483,cc1340316e41046e7ff2f54c33418694,concept_of
600516,cc1340316e41046e7ff2f54c33418694,concept_of
600550,cc1340316e41046e7ff2f54c33418694,concept_of
600558,cc1340316e41046e7ff2f54c33418694,concept_of
600622,cc1340316e41046e7ff2f54c33418694,concept_of
600642,cc1340316e41046e7ff2f54c33418694,concept_of
600848,cc1340316e41046e7ff2f54c33418694,concept_of
600875,cc1340316e41046e7ff2f54c33418694,concept_of
600973,cc1340316e41046e7ff2f54c33418694,concept_of
601106,cc1340316e41046e7ff2f54c33418694,concept_of
601179,cc1340316e41046e7ff2f54c33418694,concept_of
601369,cc1340316e41046e7ff2f54c33418694,concept_of
601611,cc1340316e41046e7ff2f54c33418694,concept_of
601727,cc1340316e41046e7ff2f54c33418694,concept_of
601877,cc1340316e41046e7ff2f54c33418694,concept_of
601985,cc1340316e41046e7ff2f54c33418694,concept_of
601991,cc1340316e41046e7ff2f54c33418694,concept_of
603100,cc1340316e41046e7ff2f54c33418694,concept_of
603169,cc1340316e41046e7ff2f54c33418694,concept_of
603308,cc1340316e41046e7ff2f54c33418694,concept_of
603699,cc1340316e41046e7ff2f54c33418694,concept_of
777,cc1340316e41046e7ff2f54c33418694,concept_of
825,cc1340316e41046e7ff2f54c33418694,concept_of
881,cc1340316e41046e7ff2f54c33418694,concept_of
883,cc1340316e41046e7ff2f54c33418694,concept_of
899,cc1340316e41046e7ff2f54c33418694,concept_of
922,cc1340316e41046e7ff2f54c33418694,concept_of
967,cc1340316e41046e7ff2f54c33418694,concept_of
969,cc1340316e41046e7ff2f54c33418694,concept_of
993,cc1340316e41046e7ff2f54c33418694,concept_of
2011,cc1340316e41046e7ff2f54c33418694,concept_of
2058,cc1340316e41046e7ff2f54c33418694,concept_of
2130,cc1340316e41046e7ff2f54c33418694,concept_of
2149,cc1340316e41046e7ff2f54c33418694,concept_of
2167,cc1340316e41046e7ff2f54c33418694,concept_of
2212,cc1340316e41046e7ff2f54c33418694,concept_of
2227,cc1340316e41046e7ff2f54c33418694,concept_of
2248,cc1340316e41046e7ff2f54c33418694,concept_of
2255,cc1340316e41046e7ff2f54c33418694,concept_of
2266,cc1340316e41046e7ff2f54c33418694,concept_of
2276,cc1340316e41046e7ff2f54c33418694,concept_of
2318,cc1340316e41046e7ff2f54c33418694,concept_of
2364,cc1340316e41046e7ff2f54c33418694,concept_of
2366,cc1340316e41046e7ff2f54c33418694,concept_of
2438,cc1340316e41046e7ff2f54c33418694,concept_of
2478,cc1340316e41046e7ff2f54c33418694,concept_of
2534,cc1340316e41046e7ff2f54c33418694,concept_of
2564,cc1340316e41046e7ff2f54c33418694,concept_of
2665,cc1340316e41046e7ff2f54c33418694,concept_of
300004,cc1340316e41046e7ff2f54c33418694,concept_of
300084,cc1340316e41046e7ff2f54c33418694,concept_of
300092,cc1340316e41046e7ff2f54c33418694,concept_of
300153,cc1340316e41046e7ff2f54c33418694,concept_of
300185,cc1340316e41046e7ff2f54c33418694,concept_of
300411,cc1340316e41046e7ff2f54c33418694,concept_of
300489,cc1340316e41046e7ff2f54c33418694,concept_of
600209,999278e00523daeadee721f708094efe,concept_of
600515,999278e00523daeadee721f708094efe,concept_of
600759,999278e00523daeadee721f708094efe,concept_of
600896,999278e00523daeadee721f708094efe,concept_of
601118,999278e00523daeadee721f708094efe,concept_of
99,999278e00523daeadee721f708094efe,concept_of
505,999278e00523daeadee721f708094efe,concept_of
566,999278e00523daeadee721f708094efe,concept_of
567,999278e00523daeadee721f708094efe,concept_of
613,999278e00523daeadee721f708094efe,concept_of
691,999278e00523daeadee721f708094efe,concept_of
735,999278e00523daeadee721f708094efe,concept_of
886,999278e00523daeadee721f708094efe,concept_of
2320,999278e00523daeadee721f708094efe,concept_of
2596,999278e00523daeadee721f708094efe,concept_of
600071,0e8032dff9c1bcfdc190025e7b5fb547,concept_of
600271,0e8032dff9c1bcfdc190025e7b5fb547,concept_of
600288,0e8032dff9c1bcfdc190025e7b5fb547,concept_of
600602,0e8032dff9c1bcfdc190025e7b5fb547,concept_of
